"controller","condition","item","reading_time","NA","subject","group_G","ambiguity_G","ambiguity","group"
"DashedSentence","exp1-2","23",2255,"False","Native 12","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","24",5270,"False","Native 12","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","3",3073,"False","Native 12","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","13",3091,"False","Native 12","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","11",4530,"False","Native 12","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","1",2463,"False","Native 12","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","10",4286,"False","Native 12","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","16",4809,"False","Native 12","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","12",4324,"False","Native 12","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","22",6059,"False","Native 12","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","19",1922,"False","Native 12","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","17",2730,"False","Native 12","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","17",3553,"False","Native 13","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","23",4560,"False","Native 13","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","5",2604,"False","Native 13","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","8",3498,"False","Native 13","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","24",2741,"False","Native 13","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","22",2804,"False","Native 13","Native","Unambiguous",-0.5,-0.5
